timestamp,X,Y,Z
1764067569572,-0.030000,-0.423000,9.907050
1764067569582,-0.010950,-0.286950,9.861000
1764067569591,-0.054000,-0.117000,9.913951
1764067569601,0.010050,0.114000,9.889951
1764067569610,-0.027000,0.238950,9.913951
1764067569620,0.022050,0.402000,9.859051
1764067569629,0.079050,0.832950,9.925950
1764067569639,0.072000,0.912000,9.885000
1764067569648,0.156000,0.627000,9.913951
1764067569658,0.070050,0.133050,9.907050
1764067569667,-0.054000,-0.307950,9.828000
1764067569677,-0.049050,-0.208050,9.745951
1764067569686,-0.031950,-0.220050,9.940050
1764067569696,-0.001050,-0.124050,9.922951
1764067569705,-0.114000,-0.445050,9.825001
1764067569715,-0.118050,-0.523950,9.925950
1764067569724,-0.070050,-0.282000,9.904051
1764067569734,0.010050,0.070950,9.760950
1764067569743,0.079050,0.547950,9.889951
1764067569753,0.204000,0.868950,9.964050
1764067569762,0.249000,1.042950,9.909000
1764067569772,0.157950,0.708000,9.885000
1764067569781,0.048000,0.349050,9.844050
1764067569791,0.000000,0.153000,9.904051
1764067569800,-0.042000,0.117000,9.823050
1764067569810,-0.114000,-0.189000,9.898951
1764067569819,-0.310050,-0.610050,9.885000
1764067569829,-0.604050,-0.912000,9.892051
1764067569838,-0.829050,-0.816000,9.873000
1764067569848,-0.991950,-0.358950,9.811050
1764067569857,-1.299000,-0.162000,9.868051
1764067569867,-1.900050,-0.148050,9.907050
1764067569877,-3.489000,0.205050,9.825001
1764067569886,-3.633000,0.208050,9.873000
1764067569896,-3.382050,0.451950,9.886950
1764067569905,-1.045050,-0.045000,9.885000
1764067569915,0.064950,-0.165000,9.909000
1764067569924,0.087000,-0.094950,9.840000
1764067569934,0.393000,-0.186000,9.724951
1764067569943,0.939000,-0.244050,9.955050
1764067569953,0.795000,-0.208050,9.985950
1764067569962,0.211050,0.090000,9.816001
1764067569972,-0.430050,0.397050,9.886950
1764067569981,0.297000,0.409050,9.813001
1764067569991,1.204950,0.426000,9.978001
1764067570000,1.393950,0.270000,9.877951
1764067570010,1.192950,0.097950,9.873000
1764067570019,0.895950,-0.085950,10.014001
1764067570029,0.637050,-0.342000,9.720000
1764067570038,0.795000,-0.481050,9.768001
1764067570048,1.150050,-0.426000,10.096050
1764067570057,1.315050,-0.285000,9.904051
1764067570067,0.505950,0.001950,9.852000
1764067570076,-0.774000,0.394050,9.859051
1764067570086,-1.581000,0.691050,9.907050
1764067570095,-1.521000,0.792000,9.748950
1764067570105,-0.264000,0.484950,9.792001
1764067570114,0.910050,0.046950,10.078951
1764067570124,1.261950,-0.307950,9.816001
1764067570133,1.252950,-0.543000,9.922951
1764067570143,1.204950,-0.691950,9.916051
1764067570152,1.116000,-0.730050,9.861000
1764067570162,0.610950,-0.543000,9.913951
1764067570171,0.043050,-0.198000,9.849001
1764067570181,-0.492000,-0.088050,10.029000
1764067570190,-0.913050,-0.025950,9.835051
1764067570200,-0.681000,-0.048000,9.837001
1764067570209,-0.091950,-0.165000,9.945001
1764067570219,0.142050,-0.232050,9.832050
1764067570228,-0.135000,-0.166950,9.804001
1764067570238,-0.220950,-0.061950,9.985950
1764067570247,-0.202050,0.069000,9.811050
1764067570257,0.019950,0.033000,9.904051
1764067570266,0.076950,-0.061950,9.816001
1764067570276,0.055050,-0.306000,9.969001
1764067570285,7.650001,-6.904950,10.527000
1764067570295,-2.401950,2.535000,8.764951
1764067570304,1.806000,-0.832950,10.729951
1764067570314,0.754950,-0.142950,9.696000
1764067570323,0.225000,-0.177000,9.744000
1764067570333,-0.268950,-0.319950,10.045951
1764067570342,-0.351000,-0.435000,9.898951
1764067570352,0.319050,-0.376050,9.712951
1764067570361,-0.331050,-0.322950,10.002001
1764067570371,-1.291950,-0.091050,9.829950
1764067570380,0.180000,-0.640950,10.033951
1764067570390,0.510000,-0.036000,9.744000
1764067570400,0.442950,-0.058950,9.817950
1764067570409,0.139050,-0.045000,9.997951
1764067570419,-0.268950,-0.013950,9.876000
1764067570428,-1.081050,0.033000,9.841950
1764067570438,-1.666950,0.100050,10.021951
1764067570447,-2.127000,0.540000,9.813001
1764067570457,-2.046000,0.973950,9.769951
1764067570466,-0.808050,0.900000,9.876000
1764067570476,0.685050,-0.061950,9.931050
1764067570485,1.561050,-0.610050,9.873000
1764067570495,1.885050,-0.688950,9.769951
1764067570504,1.897050,-0.471000,9.919050
1764067570514,1.633050,-0.202950,9.973950
1764067570523,0.949050,-0.106950,9.892051
1764067570533,-0.123000,0.037950,9.844050
1764067570542,-0.409950,0.046950,10.041000
1764067570552,-0.130050,0.007050,9.840000
1764067570561,0.076950,-0.033000,9.715051
1764067570571,0.055050,-0.001950,9.937950
1764067570580,0.225000,0.033000,9.904051
1764067570590,0.343050,0.042000,9.753000
1764067570599,0.132000,-0.009000,10.014001
1764067570609,0.357000,-0.024000,10.113001
1764067570618,0.934050,-0.093000,9.949950
1764067570628,0.931950,-0.148050,9.499950
1764067570637,0.577050,-0.198000,9.928050
1764067570647,-0.010950,-0.193950,10.144051
1764067570656,-0.247950,-0.091050,9.889951
1764067570666,-0.658950,-0.037950,9.828000
1764067570675,-0.463050,-0.069000,9.816001
1764067570685,0.157950,-0.118950,9.655050
1764067570694,0.883950,-0.115050,9.868051
1764067570704,1.300050,-0.093000,10.282950
1764067570713,1.839000,0.280050,9.732000
1764067570723,1.731000,0.193050,9.907050
1764067570732,1.743000,0.184050,9.904051
1764067570742,1.807950,-0.088050,9.970950
1764067570751,-7.284000,-2.929950,9.475950
1764067570761,1.690950,-0.523950,10.453051
1764067570770,0.502950,-0.628950,9.586050
1764067570780,0.252000,-0.766050,10.137000
1764067570789,0.337950,-0.909000,9.610050
1764067570799,0.454950,-1.041000,10.078951
1764067570808,0.391050,-1.060050,9.820050
1764067570818,0.048000,-1.020000,9.990001
